2024-12-29 19:48:20,113 - INFO - Episode done: Step: 360 | Action: 67 | Raw Reward: -1.63 | Scaled Reward: -0.6193 | Reward Compliance: -0.88 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -1.15 | Reward Entropy: 0.26 | Total Reward: -0.4184 | Compliance: 87.85 | Constraint: 0.53
2024-12-29 19:59:49,527 - INFO - Episode done: Step: 360 | Action: 22 | Raw Reward: -0.84 | Scaled Reward: -0.4552 | Reward Compliance: -1.23 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.2884 | Compliance: 123.30 | Constraint: 0.47
2024-12-29 19:59:50,382 - INFO - Episode done: Step: 360 | Action: 27 | Raw Reward: -2.39 | Scaled Reward: -0.7054 | Reward Compliance: -2.78 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3959 | Compliance: 278.22 | Constraint: 0.40
2024-12-29 19:59:51,222 - INFO - Episode done: Step: 360 | Action: 59 | Raw Reward: -0.90 | Scaled Reward: -0.4738 | Reward Compliance: -1.29 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.2976 | Compliance: 128.62 | Constraint: 0.45
2024-12-29 19:59:52,096 - INFO - Episode done: Step: 360 | Action: 32 | Raw Reward: -1.30 | Scaled Reward: -0.5644 | Reward Compliance: -1.68 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3397 | Compliance: 168.47 | Constraint: 0.43
2024-12-29 19:59:53,040 - INFO - Episode done: Step: 360 | Action: 63 | Raw Reward: -0.64 | Scaled Reward: -0.3888 | Reward Compliance: -1.02 | Reward Density High: 0.04 | Reward Density Low: 0.04 | Reward Total Mass: -0.00 | Reward Entropy: 0.30 | Total Reward: -0.2531 | Compliance: 101.69 | Constraint: 0.50
2024-12-29 19:59:54,019 - INFO - Episode done: Step: 360 | Action: 1 | Raw Reward: -2.11 | Scaled Reward: -0.6781 | Reward Compliance: -2.50 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3858 | Compliance: 250.08 | Constraint: 0.41
2024-12-29 19:59:54,892 - INFO - Episode done: Step: 360 | Action: 13 | Raw Reward: -8.60 | Scaled Reward: -0.8959 | Reward Compliance: -8.99 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.4582 | Compliance: 899.05 | Constraint: 0.40
2024-12-29 19:59:55,821 - INFO - Episode done: Step: 360 | Action: 71 | Raw Reward: -4.07 | Scaled Reward: -0.8027 | Reward Compliance: -4.47 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.26 | Total Reward: -0.4294 | Compliance: 447.12 | Constraint: 0.40
2024-12-29 19:59:56,799 - INFO - Episode done: Step: 360 | Action: 18 | Raw Reward: -2.89 | Scaled Reward: -0.7428 | Reward Compliance: -3.29 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.4093 | Compliance: 328.60 | Constraint: 0.42
