episode,timestep,reward
1,1000,-152.8895
3,2000,-173.328
5,3000,-174.1253
7,4000,-137.7103
9,5000,-145.6127
11,6000,-133.5182
13,7000,-138.594
15,8000,-143.0685
17,9000,-138.5901
19,10000,-130.3495
21,11000,-139.1735
23,12000,-139.0945
25,13000,-139.6702
27,14000,-147.0406
29,15000,-136.6901
31,16000,-137.0422
33,17000,-142.8909
35,18000,-138.6069
37,19000,-136.6373
39,20000,-134.819
41,21000,-145.3724
43,22000,-144.888
45,23000,-135.4852
47,24000,-132.835
49,25000,-136.0103
51,26000,-136.5651
53,27000,-133.8741
55,28000,-141.072
57,29000,-136.428
59,30000,-134.7211
61,31000,-136.2566
63,32000,-138.0449
65,33000,-142.3985
67,34000,-132.2543
69,35000,-130.9989
71,36000,-132.577
73,37000,-137.6888
75,38000,-134.1045
77,39000,-141.9668
79,40000,-132.3677
81,41000,-137.9591
83,42000,-138.5195
85,43000,-141.8513
87,44000,-132.9604
89,45000,-137.296
91,46000,-129.019
93,47000,-134.0103
95,48000,-134.4191
97,49000,-127.4322
99,50000,-131.7155
101,51000,-136.2208
103,52000,-127.8114
105,53000,-132.4316
107,54000,-133.5956
109,55000,-136.8415
111,56000,-133.8821
113,57000,-137.0596
115,58000,-142.9912
117,59000,-136.4256
119,60000,-132.0176
121,61000,-136.4396
123,62000,-136.4853
125,63000,-132.9832
127,64000,-132.515
129,65000,-144.5818
131,66000,-126.1213
133,67000,-131.797
135,68000,-133.8577
137,69000,-128.7691
139,70000,-126.2828
141,71000,-132.5894
143,72000,-128.9044
145,73000,-139.0699
147,74000,-131.9595
149,75000,-135.7476
151,76000,-125.2344
153,77000,-125.1338
155,78000,-137.7512
157,79000,-129.9598
159,80000,-130.1958
161,81000,-125.7905
163,82000,-132.7822
165,83000,-131.6137
167,84000,-128.3852
169,85000,-133.9453
171,86000,-130.5673
173,87000,-128.3971
175,88000,-129.358
177,89000,-123.9327
179,90000,-130.7231
181,91000,-132.1335
183,92000,-127.3573
185,93000,-129.0731
187,94000,-127.5534
189,95000,-121.9152
191,96000,-124.8668
193,97000,-129.2116
195,98000,-126.3341
197,99000,-137.1406
199,100000,-126.1782
201,101000,-133.3984
203,102000,-128.5551
205,103000,-131.7865
207,104000,-130.3057
209,105000,-131.9345
211,106000,-127.8244
213,107000,-131.2099
215,108000,-126.4811
217,109000,-126.6176
219,110000,-128.0266
221,111000,-123.6323
223,112000,-122.1456
225,113000,-121.5913
227,114000,-117.782
229,115000,-121.9557
231,116000,-119.6877
233,117000,-128.8668
235,118000,-122.1275
237,119000,-121.6853
239,120000,-118.8793
241,121000,-117.5573
243,122000,-117.5666
245,123000,-116.7156
247,124000,-114.5697
249,125000,-123.2413
251,126000,-122.6637
253,127000,-117.52
255,128000,-116.5382
257,129000,-120.6384
259,130000,-120.1307
261,131000,-123.3365
263,132000,-121.8192
265,133000,-122.5281
267,134000,-134.2232
269,135000,-127.1945
271,136000,-121.6812
273,137000,-122.3703
275,138000,-123.7992
277,139000,-122.0981
279,140000,-130.4502
281,141000,-128.3523
283,142000,-131.0737
285,143000,-121.1568
287,144000,-126.3374
289,145000,-124.8588
291,146000,-127.001
293,147000,-121.9977
295,148000,-130.0474
297,149000,-119.5413
299,150000,-126.9713
301,151000,-124.3016
303,152000,-123.1203
305,153000,-119.8609
307,154000,-121.4417
309,155000,-120.9621
311,156000,-124.0862
313,157000,-111.5051
315,158000,-117.9471
317,159000,-117.9167
319,160000,-118.0703
321,161000,-119.3106
323,162000,-117.6699
325,163000,-116.0754
327,164000,-115.6042
329,165000,-120.0145
331,166000,-114.4678
333,167000,-109.4086
335,168000,-115.1266
337,169000,-115.3651
339,170000,-119.7697
341,171000,-113.6921
343,172000,-109.7667
345,173000,-111.1452
347,174000,-112.3846
349,175000,-114.6904
351,176000,-116.3709
353,177000,-107.436
355,178000,-104.421
357,179000,-111.1202
359,180000,-113.3109
361,181000,-110.8807
363,182000,-108.2193
365,183000,-110.3196
367,184000,-102.843
369,185000,-104.755
371,186000,-103.754
373,187000,-104.5433
375,188000,-102.3963
377,189000,-112.2105
379,190000,-109.8875
381,191000,-109.5053
383,192000,-105.2289
385,193000,-109.5754
387,194000,-112.5887
389,195000,-111.6673
391,196000,-113.5514
393,197000,-118.3183
395,198000,-119.5471
397,199000,-117.6631
399,200000,-120.2406
401,201000,-117.5203
403,202000,-123.3721
405,203000,-124.8261
407,204000,-123.437
409,205000,-122.1293
411,206000,-126.1338
413,207000,-130.1666
415,208000,-122.0122
417,209000,-120.5984
419,210000,-119.9876
421,211000,-118.3833
423,212000,-116.2962
425,213000,-117.6702
427,214000,-131.7309
429,215000,-128.7959
431,216000,-119.5333
433,217000,-121.8594
435,218000,-126.2026
437,219000,-121.7005
439,220000,-119.2277
441,221000,-115.9408
443,222000,-116.0841
445,223000,-113.7452
447,224000,-114.2181
449,225000,-109.9813
451,226000,-120.6362
453,227000,-117.0698
455,228000,-114.9752
457,229000,-110.3019
459,230000,-113.9404
461,231000,-119.7446
463,232000,-118.123
465,233000,-111.6264
467,234000,-114.1245
469,235000,-118.7677
471,236000,-106.1761
473,237000,-110.7939
475,238000,-113.4149
477,239000,-113.9423
479,240000,-111.9839
481,241000,-113.7057
483,242000,-116.3544
485,243000,-111.5752
487,244000,-114.8721
489,245000,-112.4383
491,246000,-111.2468
493,247000,-111.5292
495,248000,-113.9892
497,249000,-115.0075
499,250000,-114.1985
501,251000,-116.8782
503,252000,-105.5129
505,253000,-113.3557
507,254000,-104.9652
509,255000,-107.8393
511,256000,-106.6402
513,257000,-102.3806
515,258000,-102.5287
517,259000,-115.5091
519,260000,-104.4389
521,261000,-109.5909
523,262000,-105.8219
525,263000,-106.386
527,264000,-105.1421
529,265000,-101.5347
531,266000,-112.9223
533,267000,-110.3159
535,268000,-104.2525
537,269000,-108.0009
539,270000,-111.5895
541,271000,-109.1297
543,272000,-109.3035
545,273000,-109.9706
547,274000,-109.4316
549,275000,-106.5098
551,276000,-111.3838
553,277000,-109.8629
555,278000,-118.7927
557,279000,-115.6582
559,280000,-103.3916
561,281000,-113.6576
563,282000,-108.4943
565,283000,-105.78
567,284000,-115.3012
569,285000,-113.2103
571,286000,-104.4273
573,287000,-107.9894
575,288000,-115.5385
577,289000,-105.4363
579,290000,-110.0024
581,291000,-111.8425
583,292000,-108.9577
585,293000,-107.8551
587,294000,-107.9296
589,295000,-106.8365
591,296000,-106.4559
593,297000,-107.744
595,298000,-110.4843
597,299000,-107.9022
599,300000,-113.1041
601,301000,-107.897
603,302000,-108.6168
605,303000,-109.7531
607,304000,-104.7389
609,305000,-108.7461
611,306000,-110.3651
613,307000,-106.3655
615,308000,-105.6089
617,309000,-108.122
619,310000,-108.9195
621,311000,-106.0225
623,312000,-108.0661
625,313000,-106.5677
627,314000,-107.8115
629,315000,-102.3862
631,316000,-104.4601
