episode,timestep,reward
1,720,-117.7444
3,1440,-107.6817
5,2160,-119.2617
7,2880,-124.7696
9,3600,-121.4111
11,4320,-111.6023
13,5040,-59.5972
15,5760,-107.7585
17,6480,-119.2315
19,7200,-122.4621
21,7920,-65.907
23,8640,-87.0714
25,9360,-62.4291
27,10080,-58.2175
