episode,timestep,reward
1,720,-65.0159
3,1440,-105.6772
5,2160,-116.5873
7,2880,-96.5907
9,3600,-70.9901
11,4320,-65.5103
13,5040,-66.4455
15,5760,-75.7083
17,6480,-44.5701
19,7200,-28.3031
21,7920,-30.6205
23,8640,-54.4862
25,9360,-50.9303
27,10080,-92.9382
29,10800,-58.0168
31,11520,-34.8215
33,12240,-21.6447
35,12960,3.0711
37,13680,-60.1998
39,14400,-41.2597
41,15120,-63.6554
43,15840,-48.1002
45,16560,-107.2147
47,17280,-54.4219
49,18000,-33.1592
51,18720,-27.4811
53,19440,-1.4117
55,20160,-89.0224
57,20880,-28.9208
59,21600,-71.5449
61,22320,-94.3664
63,23040,-71.4873
65,23760,-49.9689
67,24480,-80.4095
69,25200,-91.756
71,25920,-16.4846
73,26640,-1.5409
75,27360,-13.2582
77,28080,-77.0367
79,28800,-28.0216
81,29520,-56.1898
83,30240,-19.7672
85,30960,-50.5467
87,31680,5.6279
89,32400,-37.4161
91,33120,-51.1296
93,33840,-46.449
95,34560,-29.9572
97,35280,-98.2882
99,36000,-17.5569
101,36720,-77.4706
103,37440,-84.7252
105,38160,-93.6445
107,38880,-101.8108
109,39600,-70.9983
111,40320,-110.2202
113,41040,-61.9811
115,41760,-94.8934
117,42480,-107.1227
119,43200,-82.2146
121,43920,-12.1015
123,44640,-98.9083
125,45360,-25.1046
127,46080,-87.0825
129,46800,-55.0854
131,47520,-39.0232
133,48240,-61.4478
135,48960,11.8114
137,49680,-24.8547
139,50400,-44.6865
141,51120,-23.4408
143,51840,22.681
145,52560,-20.7365
147,53280,-20.3621
149,54000,0.8505
151,54720,-35.3103
153,55440,-33.1236
155,56160,-46.2641
157,56880,-30.4112
159,57600,-55.984
161,58320,4.8057
163,59040,-15.5597
165,59760,-12.6737
167,60480,-34.6943
169,61200,0.6242
171,61920,-25.4695
173,62640,-5.794
175,63360,15.2452
177,64080,6.5378
179,64800,-3.8655
181,65520,43.1482
183,66240,10.349
185,66960,3.0797
187,67680,29.7679
189,68400,46.9884
191,69120,47.7436
193,69840,57.6269
195,70560,23.2811
197,71280,69.7025
199,72000,-1.1329
201,72720,60.0991
203,73440,41.26
205,74160,55.996
207,74880,32.6642
209,75600,38.2196
211,76320,13.8315
213,77040,7.0915
215,77760,35.5876
217,78480,48.7065
219,79200,29.3449
221,79920,48.1431
223,80640,35.9995
225,81360,42.0978
227,82080,61.1817
229,82800,27.7492
231,83520,57.6402
233,84240,84.2312
235,84960,50.2735
237,85680,38.7064
239,86400,58.7318
241,87120,30.1255
243,87840,24.577
245,88560,35.9443
247,89280,39.2653
249,90000,58.9253
251,90720,75.1409
253,91440,38.1485
255,92160,61.0439
257,92880,40.4718
259,93600,43.7177
261,94320,47.4997
263,95040,66.2071
265,95760,45.2397
267,96480,86.919
269,97200,46.6445
271,97920,65.0554
273,98640,29.1649
275,99360,34.1042
277,100080,46.5633
