episode,timestep,reward
511,184320,-108.0813
513,185040,-108.8036
515,185760,-109.7335
517,186480,-107.159
519,187200,-108.0328
521,187920,-108.1209
523,188640,-107.6727
525,189360,-106.6345
527,190080,-109.7088
529,190800,-107.9361
531,191520,-106.9891
533,192240,-107.9286
535,192960,-108.2727
537,193680,-108.2722
539,194400,-106.5042
541,195120,-108.1479
543,195840,-107.1037
545,196560,-107.7275
547,197280,-106.4175
549,198000,-108.1095
551,198720,-109.5551
553,199440,-106.6912
555,200160,-107.668
557,200880,-105.8863
559,201600,-106.3929
561,202320,-108.1773
563,203040,-107.6686
565,203760,-106.6306
567,204480,-106.3978
569,205200,-108.7481
571,205920,-108.1851
573,206640,-106.6601
575,207360,-106.569
577,208080,-106.156
579,208800,-107.0875
581,209520,-104.7754
583,210240,-105.5571
585,210960,-106.2327
587,211680,-107.7614
589,212400,-106.8535
591,213120,-105.5601
593,213840,-107.4927
595,214560,-104.1073
597,215280,-107.1687
599,216000,-104.9415
601,216720,-105.1705
603,217440,-105.5323
605,218160,-105.1105
607,218880,-106.0208
609,219600,-105.4457
611,220320,-105.5998
613,221040,-105.6575
615,221760,-105.669
617,222480,-105.6563
619,223200,-104.4784
621,223920,-104.8993
623,224640,-105.2874
625,225360,-105.8805
627,226080,-104.2712
629,226800,-104.8977
631,227520,-105.7783
633,228240,-104.1217
635,228960,-106.533
637,229680,-102.6307
639,230400,-104.6436
641,231120,-107.5147
643,231840,-105.3173
645,232560,-103.9176
647,233280,-102.8555
649,234000,-102.463
651,234720,-104.2613
653,235440,-103.1463
655,236160,-103.9817
657,236880,-102.7008
659,237600,-103.8379
661,238320,-104.2043
663,239040,-98.9844
665,239760,-101.9334
667,240480,-100.5093
669,241200,-101.2173
671,241920,-102.4467
673,242640,-102.343
675,243360,-101.3058
677,244080,-101.5353
679,244800,-99.884
681,245520,-99.6171
683,246240,-102.2431
685,246960,-101.9965
687,247680,-102.2008
689,248400,-101.7481
691,249120,-100.3714
693,249840,-101.9798
695,250560,-100.1265
697,251280,-99.6201
699,252000,-99.3751
701,252720,-100.0457
703,253440,-99.1074
705,254160,-101.6402
707,254880,-100.6472
709,255600,-98.6257
711,256320,-97.6253
713,257040,-100.3498
715,257760,-98.3627
717,258480,-97.5345
719,259200,-97.5381
721,259920,-96.5195
723,260640,-98.2116
725,261360,-98.1026
727,262080,-99.5795
729,262800,-96.2066
731,263520,-99.5262
733,264240,-96.0997
735,264960,-96.8542
737,265680,-93.7756
739,266400,-95.3656
741,267120,-93.2735
743,267840,-93.3354
745,268560,-94.4408
747,269280,-93.5524
749,270000,-95.0088
751,270720,-93.9478
753,271440,-95.0818
755,272160,-93.1538
757,272880,-91.4109
759,273600,-91.3861
761,274320,-93.3252
763,275040,-90.0077
765,275760,-92.0456
767,276480,-89.442
769,277200,-88.5016
771,277920,-87.9244
773,278640,-88.61
775,279360,-87.1921
777,280080,-88.1025
779,280800,-88.7279
781,281520,-86.9605
783,282240,-86.3281
785,282960,-87.0484
787,283680,-88.4566
789,284400,-87.0069
791,285120,-88.2479
793,285840,-88.9381
795,286560,-90.1237
797,287280,-91.1568
799,288000,-90.3815
801,288720,-91.0337
803,289440,-91.1994
805,290160,-93.1767
807,290880,-93.864
809,291600,-94.4366
811,292320,-96.2556
813,293040,-96.265
815,293760,-97.3748
817,294480,-99.1651
819,295200,-99.8889
821,295920,-100.8072
823,296640,-102.3339
825,297360,-103.2552
827,298080,-103.0931
829,298800,-103.5276
831,299520,-104.7587
833,300240,-105.7257
835,300960,-106.7746
837,301680,-107.4558
839,302400,-108.9145
841,303120,-110.2052
843,303840,-110.751
845,304560,-110.5611
847,305280,-111.8724
849,306000,-113.2852
851,306720,-114.4087
853,307440,-114.5059
855,308160,-115.5329
857,308880,-114.9698
859,309600,-115.0459
861,310320,-114.9759
863,311040,-115.9187
865,311760,-115.6901
867,312480,-116.1494
869,313200,-115.9608
871,313920,-115.9112
873,314640,-115.5134
875,315360,-115.2744
877,316080,-114.9899
879,316800,-114.4916
881,317520,-114.4683
883,318240,-114.0061
885,318960,-113.8454
887,319680,-113.7482
889,320400,-113.4988
891,321120,-113.1177
893,321840,-112.8792
895,322560,-112.6305
897,323280,-112.2194
899,324000,-112.0658
901,324720,-111.8177
903,325440,-111.5757
905,326160,-111.5649
907,326880,-111.3752
909,327600,-111.2867
911,328320,-111.2054
913,329040,-111.0583
915,329760,-110.9327
917,330480,-110.6575
919,331200,-110.0224
921,331920,-109.7657
923,332640,-109.6448
925,333360,-109.5233
927,334080,-109.4757
929,334800,-109.4247
931,335520,-109.4031
933,336240,-109.3949
935,336960,-109.3951
937,337680,-109.3696
939,338400,-109.3698
941,339120,-109.3716
943,339840,-109.3681
945,340560,-109.366
947,341280,-109.3661
949,342000,-109.3681
951,342720,-109.3647
953,343440,-109.3646
955,344160,-109.3642
957,344880,-109.3642
959,345600,-109.3642
961,346320,-109.3642
963,347040,-109.3648
965,347760,-109.3642
967,348480,-109.3642
969,349200,-109.3656
971,349920,-109.3644
973,350640,-109.3642
975,351360,-109.3642
977,352080,-109.3642
979,352800,-109.3642
981,353520,-109.3642
983,354240,-109.3642
985,354960,-109.3642
987,355680,-109.3642
989,356400,-109.3642
991,357120,-109.3642
993,357840,-109.3642
995,358560,-109.3642
997,359280,-109.3642
999,360000,-109.3642
1001,360720,-109.3644
1003,361440,-109.3642
1005,362160,-109.3642
1007,362880,-109.3642
1009,363600,-109.3642
1011,364320,-109.3642
1013,365040,-109.3642
1015,365760,-109.3642
1017,366480,-109.3642
1019,367200,-109.3642
1021,367920,-109.3642
1023,368640,-109.3642
1025,369360,-109.3642
1027,370080,-109.3642
1029,370800,-109.3642
1031,371520,-109.3642
1033,372240,-109.3653
1035,372960,-109.3642
1037,373680,-109.3666
1039,374400,-109.3642
1041,375120,-109.3647
1043,375840,-109.3642
1045,376560,-109.3642
1047,377280,-109.3642
1049,378000,-109.3642
1051,378720,-109.3642
1053,379440,-109.3642
1055,380160,-109.3642
1057,380880,-109.3642
1059,381600,-109.3642
1061,382320,-109.3642
1063,383040,-109.3642
1065,383760,-109.3642
